src	dst	kind	source	disposition	lines	anchors
src/effects/PhaseBlock.gd	addons/exmateria_effects/subsystem/PhaseBlock.gd	script	membership_arms	move	233	Effect Camera System;Effect Execution Model
src/effects/PsxUnits.gd	addons/exmateria_platform/fixed_point/PsxMagnitude.gd	script	membership_arms	move	138	Isometric Coordinate System
src/effects/ScreenData.gd	addons/exmateria_effects/file_model/ScreenData.gd	script	membership_arms	move	178	
src/effects/ScreenEffectOverlay.gd	addons/exmateria_effects/overlay/ScreenEffectOverlay.gd	script	membership_arms	move	252	Color Screen Opcode;Screen Effect Gradient System
src/effects/ScreenSubsystem.gd	addons/exmateria_effects/subsystem/ScreenSubsystem.gd	script	membership_arms	move	200	Color Screen Opcode;Display Space Blend Fold;Screen Effect Gradient System
src/effects/SoundSubsystem.gd	addons/exmateria_effects/subsystem/SoundSubsystem.gd	script	membership_arms	move	39	Effect Sound Timing
src/effects/Subsystem.gd	addons/exmateria_effects/subsystem/Subsystem.gd	script	membership_arms	move	53	
src/effects/TimelineData.gd	addons/exmateria_effects/file_model/TimelineData.gd	script	membership_arms	move	91	Effect Execution Model
src/effects/TrapChargeLineEffect.gd	addons/exmateria_effects/trap/TrapChargeLineEffect.gd	script	membership_arms	move	390	Display Space Blend Fold;Effect Callback Mesh;Embedded MIPS Effect Code;Spell Charge Lines System;Summon Charge Lines System;Unit Sprite Height Table
src/effects/TrapConstants.gd	addons/exmateria_effects/trap/TrapConstants.gd	script	membership_arms	move	9	Embedded MIPS Effect Code;Summon Orb Orbital System;Unit Sprite Render Pipeline
src/effects/TrapEffect.gd	addons/exmateria_effects/trap/TrapEffect.gd	script	membership_arms	move	1037	Display Space Blend Fold;Elemental Puff Particle System;Embedded MIPS Effect Code;Footstep Dust Particle System;Footstep Hard Surface Particle System;Hit Reaction Particle Burst;Knight Break Impact Particle System;Spell Charge Effect System;Summon Orb Orbital System;TRAP Charge Particle System;TRAP Hit Effect Particle System;TRAP Sprite Effect System;Unit Sprite Height Table
src/effects/TrapOrbitalEffect.gd	addons/exmateria_effects/trap/TrapOrbitalEffect.gd	script	membership_arms	move	231	Summon Orb Orbital System
src/effects/TrapPaletteController.gd	addons/exmateria_effects/trap/TrapPaletteController.gd	script	membership_arms	move	172	TRAP Hit Effect Particle System;Unit White Flash Reaction Handler
src/effects/UnifiedPrimStager.gd	addons/exmateria_effects/render/UnifiedPrimStager.gd	script	membership_arms	move	116	Display Space Blend Fold
src/effects/UnitTintOverlay.gd	addons/exmateria_effects/overlay/TintedSurfaces.gd	script	membership_arms	move	273	Map Tint
src/effects/callbacks/CallbackManager.gd	addons/exmateria_effects/callbacks/CallbackManager.gd	script	membership_arms	move	113	Effect Execution Model;Embedded MIPS Effect Code
src/effects/callbacks/CallbackRegistry.gd	addons/exmateria_effects/callbacks/CallbackRegistry.gd	script	membership_arms	move	44	Embedded MIPS Effect Code
src/effects/callbacks/E071Callback.gd	addons/exmateria_effects/callbacks/E071Callback.gd	script	membership_arms	move	368	
